District,Building name,Last date of visit of the case(s),Related cases
Central & Western,Chung Ah Building,28/12/2022,
Central & Western,Lyndhurst Building,28/12/2022,
Central & Western,"Block B, New Fortune House",28/12/2022,
Central & Western,Elite's Place,28/12/2022,
Central & Western,Po Ga Building,28/12/2022,
Central & Western,Kiu Fat Building,28/12/2022,
Central & Western,Siu On Mansion,28/12/2022,
Central & Western,Sincere Western House,28/12/2022,
Central & Western,Joyful Building,28/12/2022,
Central & Western,Lee Fung Building,28/12/2022,
Central & Western,"Block B, Chong Yip Centre",28/12/2022,
Central & Western,"Block C, Chong Yip Centre",28/12/2022,
Central & Western,"Block 2, Cayman Rise",28/12/2022,
Central & Western,Winsome Park,28/12/2022,
Central & Western,Nam Pak Hong Building,28/12/2022,
Central & Western,Cartwright Gardens,28/12/2022,
Central & Western,Corona Tower,28/12/2022,
Central & Western,"Block B, Smithfield Terrace",28/12/2022,
Central & Western,"Tower 3, Tregunter",28/12/2022,
Central & Western,"Tower 2, University Heights",28/12/2022,
Central & Western,Tai Hing Building,28/12/2022,
Central & Western,Old Bailey Street Police Married Quarters,28/12/2022,
Central & Western,Good Times Building,28/12/2022,
Central & Western,"Block 1, Academic Terrace",28/12/2022,
Central & Western,"Block 2, Academic Terrace",28/12/2022,
Central & Western,"Block 3, Academic Terrace",28/12/2022,
Central & Western,On Fung Building,28/12/2022,
Central & Western,Bishop Lei International House,28/12/2022,
Central & Western,Fu Ga Building,28/12/2022,
Central & Western,Wealth Building,28/12/2022,
Central & Western,Parkway Court,28/12/2022,
Central & Western,Po Thai Building,28/12/2022,
Central & Western,"Tower 1, The Belcher's",28/12/2022,
Central & Western,"Block 2, The Belcher's",28/12/2022,
Central & Western,"Tower 5, The Belcher's",28/12/2022,
Central & Western,"Tower 6, The Belcher's",28/12/2022,
Central & Western,Elegance Court,28/12/2022,
Central & Western,Whitty Street Court,28/12/2022,
Central & Western,Sung Ling Mansion,28/12/2022,
Central & Western,"Tower 2, Queen's Terrace",28/12/2022,
Central & Western,Goodwill Garden,28/12/2022,
Central & Western,"Block A, Hongway Garden",28/12/2022,
Central & Western,"Lee Wah Building, 111-117 Des Voeux Road West",28/12/2022,
Central & Western,Yee Ga Court,28/12/2022,
Central & Western,"Block 1, Elegant Garden",28/12/2022,
Central & Western,Yee Fung Court,28/12/2022,
Central & Western,Hang Fai Building,28/12/2022,
Central & Western,"Block 2, Vantage Park",28/12/2022,
Central & Western,Man Kwong Court,28/12/2022,
Central & Western,Sun On Building,28/12/2022,
Central & Western,Sun King House,28/12/2022,
Central & Western,Brilliant Court,28/12/2022,
Central & Western,Hill Court,28/12/2022,
Central & Western,High West,28/12/2022,
Central & Western,To Li Garden,28/12/2022,
Central & Western,Yip Cheong Building,28/12/2022,
Central & Western,"Block 1, Winner Court",28/12/2022,
Central & Western,"Tower 3, Robinson Heights",28/12/2022,
Central & Western,"Phase 1, Blessings Garden",28/12/2022,
Central & Western,"Phase 2, Blessings Garden",28/12/2022,
Central & Western,"Block 2, Yuk Ming Towers",28/12/2022,
Central & Western,Wing Wah Mansion,28/12/2022,
Central & Western,"Block 1, The Merton",28/12/2022,
Central & Western,"Block 2, The Merton",28/12/2022,
Central & Western,Tai Fat Building,28/12/2022,
Central & Western,"Tower 3, Harbour View Garden",28/12/2022,
Central & Western,"Block 2, Hoi Sing Building",28/12/2022,
Central & Western,Sea View Mansion,28/12/2022,
Central & Western,"Block A, Hoi Tao Building",28/12/2022,
Central & Western,"Block B, Pearl Court",28/12/2022,
Central & Western,Silver Court,28/12/2022,
Central & Western,Pak Hoo Mansion,28/12/2022,
Central & Western,"Block 1, Centenary Mansion",28/12/2022,
Central & Western,"Block 2, Centenary Mansion",28/12/2022,
Central & Western,True Light Building,28/12/2022,
Central & Western,"Block A, Greenland Garden",28/12/2022,
Central & Western,"Block B, The Fortune Gardens",28/12/2022,
Central & Western,Markfield Building,28/12/2022,
Central & Western,Luen Wai Apartments,28/12/2022,
Central & Western,Luen On Apartments,28/12/2022,
Central & Western,Luen Hong Apartments,28/12/2022,
Central & Western,Luen Tak Apartments,28/12/2022,
Central & Western,Luen Fat Apartments,28/12/2022,
Central & Western,"Tower B, Hollywood Terrace",28/12/2022,
Central & Western,Wah Lee Building,28/12/2022,
Central & Western,Best Western Plus Hotel Hong Kong,28/12/2022,
Central & Western,Wah Po Building,28/12/2022,
Central & Western,"Block C, Wah Ming Centre",28/12/2022,
Central & Western,Ramada Hong Kong Harbour View,28/12/2022,
Central & Western,Wah Fai House,28/12/2022,
Central & Western,Harmony Court,28/12/2022,
Central & Western,Azura,28/12/2022,
Central & Western,"Evergreen Tower, Western Garden",28/12/2022,
Central & Western,"Central Terrace, Sai Wan Estate",28/12/2022,
Central & Western,"East Terrace, Sai Wan Estate",28/12/2022,
Central & Western,"West Terrace, Sai Wan Estate",28/12/2022,
Central & Western,Western House,28/12/2022,
Central & Western,"Block 1, Kwun Lung Lau",28/12/2022,
Central & Western,"Block 2, Kwun Lung Lau",28/12/2022,
Central & Western,"Block B, Kwun Lung Lau",28/12/2022,
Central & Western,Fung Yip Building,28/12/2022,
Central & Western,Albron Court,28/12/2022,
Central & Western,"Tower 2, Euston Court",28/12/2022,
Central & Western,Fairview Height,28/12/2022,
Central & Western,Excelsior Court,28/12/2022,
Central & Western,Sik On House,28/12/2022,
Central & Western,Chater Hall,28/12/2022,
Central & Western,The Bonham Mansion,28/12/2022,
Central & Western,Treasure Court,28/12/2022,
Central & Western,Golden Phoenix Court,28/12/2022,
Central & Western,King Ming Mansion,28/12/2022,
Central & Western,Manhattan Heights,28/12/2022,
Central & Western,Ko Shing Building,28/12/2022,
Central & Western,Goldwin Heights,28/12/2022,
Central & Western,"Block A, Tycoon Court",28/12/2022,
Central & Western,Lascar Court,28/12/2022,
Central & Western,Samtoh Building,27/12/2022,
Central & Western,Tower 125,27/12/2022,
Central & Western,Central Mansion,27/12/2022,
Central & Western,"Block A, New Fortune House",27/12/2022,
Central & Western,Jadeview Court,27/12/2022,
Central & Western,Scholastic Garden,27/12/2022,
Central & Western,"Tower 2, Kong Chian Tower",27/12/2022,
Central & Western,Joy Fat Mansion,27/12/2022,
Central & Western,Le Caine Mansion,27/12/2022,
Central & Western,Ka Fai Court,27/12/2022,
Central & Western,"Block A, Nam Hung Mansion",27/12/2022,
Central & Western,Grand Scholar,27/12/2022,
Central & Western,Tung Fat Building,27/12/2022,
Central & Western,"Block A, Ka Fu Building",27/12/2022,
Central & Western,Caravan Court,27/12/2022,
Central & Western,"Block D, Smithfield Terrace",27/12/2022,
Central & Western,Kennedy Town Centre,27/12/2022,
Central & Western,Caineway Mansion,27/12/2022,
Central & Western,Yue On Building,27/12/2022,
Central & Western,Ibis Hong Kong Central & Sheung Wan,27/12/2022,
Central & Western,Po Garden,27/12/2022,
Central & Western,Bonham Court,27/12/2022,
