Flight/Train/Ship number,Departure & arrival,Date of travel,Related cases,Seat Number (if known)
AI314,New Delhi,22/12/2022,,Unknown
CX750,Bangkok,22/12/2022,,Unknown
CX766,Ho Chi Minh City,22/12/2022,,Unknown
CX495,Taipei,22/12/2022,,Unknown
AI314,New Delhi,22/12/2022,,22D
CX841,New York,22/12/2022,,Unknown
CX922,Cebu,22/12/2022,,Unknown
CX411,Seoul,22/12/2022,,Unknown
CX411,Seoul,22/12/2022,,Unknown
CX411,Seoul,22/12/2022,,Unknown
CX411,Seoul,22/12/2022,,Unknown
CX411,Seoul,22/12/2022,,63J
CX411,Seoul,22/12/2022,,Unknown
CX411,Seoul,22/12/2022,,Unknown
CX411,Seoul,22/12/2022,,Unknown
CX411,Seoul,22/12/2022,,Unknown
CX841,New York,22/12/2022,,Unknown
CX841,New York,22/12/2022,,49H
CX841,New York,22/12/2022,,Unknown
JL7031,Tokyo,22/12/2022,,47J
AI314,New Delhi,22/12/2022,,Unknown
CX766,Ho Chi Minh City,22/12/2022,,Unknown
CX841,New York,22/12/2022,,Unknown
AI314,New Delhi,22/12/2022,,Unknown
AI314,New Delhi,22/12/2022,,Unknown
CX250,London,22/12/2022,,62B
TK070,Istanbul,22/12/2022,,Unknown
SQ894,Singapore,22/12/2022,,Unknown
CX162,Sydney,22/12/2022,,Unknown
SQ894,Singapore,22/12/2022,,Unknown
CX930,Manila,22/12/2022,,Unknown
CX2411,Seoul,22/12/2022,,Unknown
QR818,Doha,22/12/2022,,Unknown
CX873,San Francisco,22/12/2022,,Unknown
QR818,Doha,22/12/2022,,Unknown
QR818,Doha,22/12/2022,,22A
BA2355,Doha,22/12/2022,,Unknown
QR818,Doha,22/12/2022,,Unknown
QR818,Doha,22/12/2022,,10D
TG600,Bangkok,22/12/2022,,Unknown
BR867,Taipei,22/12/2022,,Unknown
BR867,Taipei,22/12/2022,,28D
PR318,Manila,22/12/2022,,Unknown
PR318,Manila,22/12/2022,,Unknown
NH859,Tokyo,22/12/2022,,Unknown
AC007,Vancouver,22/12/2022,,Unknown
TR978,Singapore,22/12/2022,,Unknown
LH7014,Frankfurt,22/12/2022,,66K
CX288,Frankfurt,22/12/2022,,Unknown
CX288,Frankfurt,22/12/2022,,Unknown
LH7014,Frankfurt,22/12/2022,,Unknown
CX873,San Francisco,22/12/2022,,Unknown
CX288,Frankfurt,22/12/2022,,Unknown
CX288,Frankfurt,22/12/2022,,68A
LH7014,Frankfurt,22/12/2022,,Unknown
CX796,Jakarta,22/12/2022,,Unknown
CX796,Jakarta,22/12/2022,,23A
CX714,Singapore,22/12/2022,,61C
CX845,New York,22/12/2022,,72A
CX845,New York,22/12/2022,,44H
CX845,New York,22/12/2022,,Unknown
HX782,Manila,22/12/2022,,Unknown
CX595,Osaka,22/12/2022,,Unknown
AC2007,Vancouver,22/12/2022,,Unknown
LX138,Zurich,22/12/2022,,40E
CI915,Taipei,22/12/2022,,40D
BA031,London,22/12/2022,,Unknown
AI314,New Delhi,22/12/2022,,Unknown
BR871,Taipei,22/12/2022,,Unknown
BR871,Taipei,22/12/2022,,Unknown
HX633,Osaka,22/12/2022,,Unknown
TK070,Istanbul,22/12/2022,,35D
TK070,Istanbul,22/12/2022,,Unknown
TK070,Istanbul,22/12/2022,,30E
UO681,Fukuoka,22/12/2022,,Unknown
HX629,Seoul,22/12/2022,,Unknown
TK070,Istanbul,22/12/2022,,Unknown
CX411,Seoul,22/12/2022,,43K
TK070,Istanbul,22/12/2022,,6G
TK070,Istanbul,22/12/2022,,6A
UO687,Osaka,22/12/2022,,Unknown
BR871,Taipei,22/12/2022,,Unknown
CX527,Tokyo,22/12/2022,,Unknown
CX411,Seoul,22/12/2022,,Unknown
CX543,Tokyo,22/12/2022,,15K
CX766,Ho Chi Minh City,22/12/2022,,Unknown
CX495,Taipei,22/12/2022,,Unknown
CX841,New York,22/12/2022,,49D
CX750,Bangkok,22/12/2022,,Unknown
CX250,London,22/12/2022,,46G
AI314,New Delhi,22/12/2022,,Unknown
QR818,Doha,22/12/2022,,Unknown
CX543,Tokyo,22/12/2022,,Unknown
CX543,Tokyo,22/12/2022,,15G
CX495,Taipei,22/12/2022,,Unknown
PR3202,Cebu City,22/12/2022,,Unknown
CX766,Ho Chi Minh City,22/12/2022,,Unknown
CX495,Taipei,22/12/2022,,Unknown
CX750,Bangkok,22/12/2022,,Unknown
CX750,Bangkok,22/12/2022,,15K
CX841,New York,22/12/2022,,Unknown
CX250,London,22/12/2022,,33E
CX766,Ho Chi Minh City,22/12/2022,,Unknown
CX766,Ho Chi Minh City,22/12/2022,,Unknown
PR3202,Cebu City,22/12/2022,,Unknown
PR3202,Cebu City,22/12/2022,,Unknown
CX766,Ho Chi Minh City,22/12/2022,,47J
UO111,Taipei,22/12/2022,,Unknown
TK070,Istanbul,22/12/2022,,Unknown
TK070,Istanbul,22/12/2022,,6E
TK070,Istanbul,22/12/2022,,Unknown
CX250,London,22/12/2022,,Unknown
CX250,London,22/12/2022,,Unknown
CX250,London,22/12/2022,,Unknown
CX250,London,22/12/2022,,Unknown
CX250,London,22/12/2022,,Unknown
CX841,New York,22/12/2022,,Unknown
UO111,Taipei,22/12/2022,,Unknown
UO601,Fukuoka,22/12/2022,,Unknown
CX250,London,22/12/2022,,Unknown
CX250,London,22/12/2022,,Unknown
CX250,London,22/12/2022,,33F
UO111,Taipei,22/12/2022,,Unknown
UO725,Phuket,22/12/2022,,Unknown
UO601,Fukuoka,22/12/2022,,Unknown
CX250,London,22/12/2022,,72A
CX2411,Seoul,22/12/2022,,61H
CX2411,Seoul,22/12/2022,,Unknown
CX2411,Seoul,22/12/2022,,Unknown
UO601,Fukuoka,22/12/2022,,Unknown
JL029,Tokyo,22/12/2022,,Unknown
CX614,Bangkok,22/12/2022,,45D
CX930,Manila,22/12/2022,,Unknown
UO601,Fukuoka,22/12/2022,,Unknown
UO725,Phuket,22/12/2022,,Unknown
HB682,Bangkok,22/12/2022,,2F
UO725,Phuket,22/12/2022,,Unknown
UO601,Fukuoka,22/12/2022,,Unknown
UO601,Fukuoka,22/12/2022,,Unknown
UO601,Fukuoka,22/12/2022,,Unknown
UO725,Phuket,22/12/2022,,10C
UO601,Fukuoka,22/12/2022,,Unknown
UO601,Fukuoka,22/12/2022,,Unknown
UO601,Fukuoka,22/12/2022,,Unknown
CX2411,Seoul,22/12/2022,,Unknown
UO601,Fukuoka,22/12/2022,,2A
CX567,Osaka,22/12/2022,,Unknown
CX567,Osaka,22/12/2022,,Unknown
CX250,London,22/12/2022,,Unknown
TG600,Bangkok,22/12/2022,,Unknown
QR818,Doha,22/12/2022,,22B
HB682,Bangkok,22/12/2022,,Unknown
JL029,Tokyo,22/12/2022,,58A
HB682,Bangkok,22/12/2022,,Unknown
QR818,Doha,22/12/2022,,42B
JL029,Tokyo,22/12/2022,,59C
UO725,Phuket,22/12/2022,,10A
HB682,Bangkok,22/12/2022,,Unknown
QR818,Doha,22/12/2022,,18K
QR818,Doha,22/12/2022,,Unknown
CX417,Seoul,22/12/2022,,Unknown
CX417,Seoul,22/12/2022,,Unknown
CX567,Osaka,22/12/2022,,Unknown
CX567,Osaka,22/12/2022,,Unknown
UO821,Okinawa,22/12/2022,,Unknown
UO821,Okinawa,22/12/2022,,Unknown
CX250,London,22/12/2022,,Unknown
UO821,Okinawa,22/12/2022,,Unknown
CX567,Osaka,22/12/2022,,61K
TR978,Singapore,22/12/2022,,Unknown
TR978,Singapore,22/12/2022,,Unknown
UO821,Okinawa,22/12/2022,,1A
BR867,Taipei,22/12/2022,,Unknown
TR978,Singapore,22/12/2022,,Unknown
CX881,Los Angeles,22/12/2022,,Unknown
CX873,San Francisco,22/12/2022,,Unknown
CX288,Frankfurt,22/12/2022,,Unknown
HX780,Bangkok,22/12/2022,,Unknown
CX288,Frankfurt,22/12/2022,,Cabin Crew
CX288,Frankfurt,22/12/2022,,Unknown
CX829,Toronto,22/12/2022,,47G
CX252,London,22/12/2022,,Unknown
CX252,London,22/12/2022,,Unknown
CX252,London,22/12/2022,,Unknown
5J272,Manila,22/12/2022,,21A
CX252,London,22/12/2022,,Unknown
CX040,Mumbai,22/12/2022,,Unknown
CX873,San Francisco,22/12/2022,,36H
HX780,Bangkok,22/12/2022,,Unknown
CX829,Toronto,22/12/2022,,Unknown
CX845,New York,22/12/2022,,Unknown
UO623,Bangkok,22/12/2022,,Unknown
UO623,Bangkok,22/12/2022,,Unknown
CX845,New York,22/12/2022,,Cabin Crew
HX780,Bangkok,22/12/2022,,Unknown
CX829,Toronto,22/12/2022,,Unknown
HX780,Bangkok,22/12/2022,,Unknown
CX714,Singapore,22/12/2022,,Unknown
CX698,New Delhi,22/12/2022,,Unknown
CX595,Osaka,22/12/2022,,Unknown
HX637,Osaka,22/12/2022,,Unknown
HX766,Bangkok,22/12/2022,,Unknown
HX637,Osaka,22/12/2022,,Unknown
HX637,Osaka,22/12/2022,,Unknown
HX637,Osaka,22/12/2022,,55H
HX766,Bangkok,22/12/2022,,Unknown
HX766,Bangkok,22/12/2022,,Unknown
HX766,Bangkok,22/12/2022,,Unknown
HX766,Bangkok,22/12/2022,,39K
OZ745,Seoul,22/12/2022,,38B
AY099,Helsinki,22/12/2022,,Unknown
AY099,Helsinki,22/12/2022,,Unknown
AY099,Helsinki,22/12/2022,,Unknown
AY099,Helsinki,22/12/2022,,Unknown
AY099,Helsinki,22/12/2022,,Unknown
AY099,Helsinki,22/12/2022,,Unknown
BA031,London,22/12/2022,,Unknown
BA031,London,22/12/2022,,Unknown
BA031,London,22/12/2022,,Unknown
BA031,London,22/12/2022,,Unknown
BA031,London,22/12/2022,,Unknown
BR851,Taipei,22/12/2022,,21K
BR871,Taipei,22/12/2022,,36K
CI915,Taipei,22/12/2022,,Unknown
CX005,Taipei,22/12/2022,,Unknown
CX549,Tokyo,22/12/2022,,Unknown
CX561,Osaka,22/12/2022,,70D
CX716,Singapore,22/12/2022,,Unknown
CX724,Kuala Lumpur,22/12/2022,,Unknown
CX724,Kuala Lumpur,22/12/2022,,Unknown
CX865,Vancouver,22/12/2022,,Unknown
CX100,Sydney,22/12/2022,,Unknown
CX100,Sydney,22/12/2022,,Unknown
CX100,Sydney,22/12/2022,,Unknown
CX100,Sydney,22/12/2022,,43C
CX100,Sydney,22/12/2022,,Unknown
CX100,Sydney,22/12/2022,,Cabin Crew
CX100,Sydney,22/12/2022,,Unknown
CX100,Sydney,22/12/2022,,Unknown
CX100,Sydney,22/12/2022,,Unknown
CX104,Melbourne,22/12/2022,,Unknown
CX104,Melbourne,22/12/2022,,Unknown
CX104,Melbourne,22/12/2022,,Unknown
CX104,Melbourne,22/12/2022,,46C
CX162,Sydney,22/12/2022,,Unknown
CX250,London,22/12/2022,,Unknown
CX250,London,22/12/2022,,Unknown
CX250,London,22/12/2022,,17D
CX250,London,22/12/2022,,17G
CX252,London,22/12/2022,,59B
CX2690,Singapore,22/12/2022,,Unknown
CX2690,Singapore,22/12/2022,,41D
CX411,Seoul,22/12/2022,,Unknown
CX411,Seoul,22/12/2022,,Unknown
CX411,Seoul,22/12/2022,,Unknown
CX411,Seoul,22/12/2022,,Unknown
CX411,Seoul,22/12/2022,,Unknown
CX419,Seoul,22/12/2022,,Unknown
CX419,Seoul,22/12/2022,,Unknown
CX419,Seoul,22/12/2022,,Unknown
CX419,Seoul,22/12/2022,,15A
CX419,Seoul,22/12/2022,,Unknown
CX457,Kaohsiung,22/12/2022,,Unknown
CX479,Taipei,22/12/2022,,Unknown
CX479,Taipei,22/12/2022,,Unknown
CX479,Taipei,22/12/2022,,45G
CX479,Taipei,22/12/2022,,Unknown
CX479,Taipei,22/12/2022,,Unknown
CX479,Taipei,22/12/2022,,Unknown
CX505,Tokyo,22/12/2022,,Unknown
CX505,Tokyo,22/12/2022,,45C
CX505,Tokyo,22/12/2022,,Unknown
CX505,Tokyo,22/12/2022,,Unknown
CX505,Tokyo,22/12/2022,,Unknown
CX505,Tokyo,22/12/2022,,Unknown
CX507,Osaka,22/12/2022,,Unknown
CX549,Tokyo,22/12/2022,,Unknown
CX549,Tokyo,22/12/2022,,55H
CX549,Tokyo,22/12/2022,,30K
CX549,Tokyo,22/12/2022,,Unknown
CX549,Tokyo,22/12/2022,,Unknown
CX549,Tokyo,22/12/2022,,55J
CX5601,Fukuoka,22/12/2022,,42A
CX561,Osaka,22/12/2022,,48D
CX561,Osaka,22/12/2022,,48E
CX561,Osaka,22/12/2022,,42B
CX561,Osaka,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,76D
CX581,Sapporo,22/12/2022,,68C
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,58G
CX581,Sapporo,22/12/2022,,58F
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,59D
CX581,Sapporo,22/12/2022,,58E
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX581,Sapporo,22/12/2022,,Unknown
CX595,Osaka,22/12/2022,,Unknown
CX595,Osaka,22/12/2022,,Unknown
CX595,Osaka,22/12/2022,,Unknown
CX634,Penang,22/12/2022,,62D
CX702,Bangkok,22/12/2022,,Unknown
CX702,Bangkok,22/12/2022,,Unknown
CX708,Bangkok,22/12/2022,,62c
CX708,Bangkok,22/12/2022,,30k
CX708,Bangkok,22/12/2022,,Unknown
CX708,Bangkok,22/12/2022,,30H
CX708,Bangkok,22/12/2022,,Unknown
CX708,Bangkok,22/12/2022,,Unknown
CX708,Bangkok,22/12/2022,,Unknown
CX714,Singapore,22/12/2022,,63C
CX724,Kuala Lumpur,22/12/2022,,Unknown
CX724,Kuala Lumpur,22/12/2022,,Unknown
CX724,Kuala Lumpur,22/12/2022,,44A
CX724,Kuala Lumpur,22/12/2022,,44D
CX724,Kuala Lumpur,22/12/2022,,Unknown
CX724,Kuala Lumpur,22/12/2022,,76A
CX724,Kuala Lumpur,22/12/2022,,Unknown
CX742,Hanoi,22/12/2022,,Unknown
CX742,Hanoi,22/12/2022,,Unknown
CX742,Hanoi,22/12/2022,,Unknown
CX776,Jakarta,22/12/2022,,Unknown
CX776,Jakarta,22/12/2022,,Unknown
CX776,Jakarta,22/12/2022,,39E
CX776,Jakarta,22/12/2022,,Unknown
CX776,Jakarta,22/12/2022,,Unknown
CX776,Jakarta,22/12/2022,,Unknown
CX776,Jakarta,22/12/2022,,Unknown
CX784,Denpasar,22/12/2022,,Unknown
